Date,News,Topic,Company,Sentiment
9/2/2023,GTCO half year pre-tax profits jump 217% on the back of forex ,Financials,['GTCO'],bullish
9/1/2023,GTCO Plc releases 2023 half year audited results,Earnings,['GTCO Plc'],neutral
9/1/2023,"Dangote Sugar, NASCON lead gainers to open September positive",Stock Movement,"['NASCON', 'september']",bullish
8/31/2023,"Nigerian stocks sustain bullish momentum, posts 3.44% growth in August ",Markets,[],bullish
8/31/2023,Equities extend gains with N61 billion,Markets,[],bullish
8/31/2023,Stanbic IBTC Holdings Posts a remarkable 108% growth in pre-tax profit in H1,Financials,['STANBIC'],bullish
8/30/2023,Guinness: FX loss undermines “highly spirited” top-line performance,Financials,"['GUINNESS', 'FX']",bearish
8/30/2023,"Explaining what Dangote Sugar, Dangote Rice and NASCON Merger means for all shareholders",M&A | Investments,[],neutral
8/30/2023,Equities decline by N28 billion on profit taking ,Markets,[],bearish
8/30/2023,MTN Nigeria raises N125bn via commercial paper notes ,Treasuries | Corporate Debt,['MTNN'],neutral
8/30/2023,DMO sold treasury bills valued at N406.10 billion in July- Report,Treasuries | Corporate Debt,"['DMO', 'treasury']",neutral
8/30/2023,Bitcoin sparkles after court clears way for first U.S Bitcoin ETF,Stock Movement,[],bullish
8/30/2023,"NAHCO’s Director, Tajudeen Shobayo purchases N9.8 million worth of shares",Company | Product News,['NAHCO'],neutral
8/30/2023,"Naira falls despite a weak dollar, trades at N925/$ at black market",Stock Movement,[],bearish
8/30/2023,Full-Year 2023: Flour Mills Nigeria posts pre-tax profits of N39.78 billion amid foreign exchange losses and high interest expenses  ,Financials,['FLOURMILL'],bearish
8/29/2023,"Nigerian Equities Beat 15-Year Record To Hit All-Time High At 66,490 ",Markets,['Nigerian Equities Beat'],bullish
8/29/2023,Ponzi: SEC seals Stockmatch offices over illegal investment activities,Legal | Regulation,['SEC'],bearish
8/29/2023,Analysis: Oil and gas stocks post massive returns after fuel subsidy removal,Energy | Oil,[],bullish
8/29/2023,"Tony Elumelu’s wife, Awele’s stake in Transcorp hits N13 billion",M&A | Investments,"['Awele', 'TRANSCORP']",neutral
8/28/2023,"Transcorp, Dangote sugar leads gainers as NGX gains N324bn",Stock Movement,['TRANSCORP'],bullish
8/28/2023,Q2 2023 GDP: LCCI seeks fiscal measures to manage inflation and high interest rate ,Macro,[],neutral
8/27/2023,Nigeria’s domestic investors dominate as portfolio investments surge by 72.83% in July ,General News | Opinion,['CADBURY'],bullish
8/26/2023,FBN Holdings employee sold N28.8 million worth of shares ,Company | Product News,['FBNH'],neutral
8/26/2023,First Female GMD of CHAMS says FG should encourage collaboration and interoperability between Mobile Payment Providers ,Company | Product News,"['CHAMS', 'FG', 'Mobile Payment Providers']",neutral
8/25/2023,Bullish momentum resurfaces as equities registers gains of N86 billion ,Markets,[],bullish
8/25/2023,Fuel Price Increase: Marketers flummoxed as naira depreciation erodes gains of falling oil prices ,Energy | Oil,[],bearish
8/25/2023,Fuel subsidies removal and exchange rate unification: How the Oil and Gas sector has fared,Energy | Oil,[],neutral
8/25/2023,"NAHCO’s Director, Akinwumi Fanimokun purchases N5.7 million worth of shares",Company | Product News,['NAHCO'],neutral
8/25/2023,Unclaimed dividend hits N190 billion,Dividend,[],bearish
8/25/2023,Geopolitical and economic tensions hampered quicker economic recovery-Report,Macro,[],bearish
8/24/2023,Bearish mood sets in as stocks suffer N50 billion loss in equities value        ,Markets,[],bearish
8/24/2023,Video: JP Morgan statement on $3.7billion is misleading,Company | Product News,[],bearish
8/24/2023,CBN to JP Morgan: Your $3.7 billion estimate of Nigeria’s FX reserve is misleading,Fed | Central Banks,"['CBN', 'CADBURY']",bearish
8/23/2023,"BDCs hint forex market will begin to see, capture diaspora remittances",Company | Product News,[],neutral
8/23/2023,Nigeria’s treasury bills rate jumps to 13.9%,Treasuries | Corporate Debt,['treasury'],bearish
8/23/2023,FBI alerts crypto firms over hackers’ plot to cash out $40 million,Legal | Regulation,['FBI'],bearish
8/23/2023,"Naira resumes slide at P2P market once again, trades as low as N910/$",Stock Movement,[],bearish
8/23/2023,Bullish surge boosts Market Capitalization by N157 billion ,Markets,['Market Capitalization'],bullish
8/23/2023,UBA delays publishing of HY audited financial results,Company | Product News,['UBA'],neutral
8/22/2023,Honeywell Board raises concerns over Management Account in recent meeting,Company | Product News,['Honeywell Board'],bearish
8/22/2023,Exchange rate falls to N900/$1 as operators ask ‘where is the dollar’,Currencies,[],bearish
8/22/2023,"BDCs admits Fintechs, unlicensed online firms diverting diaspora remittances ",Legal | Regulation,['Fintechs'],neutral
8/22/2023,"Stanbic IBTC delays HY results, seeks CBN approval",Company | Product News,['CBN'],bearish
8/21/2023,Nigeria’s Money Supply rises to N64.9 trillion in July 2023,Macro,[],bullish
8/21/2023,Currency in circulation declines for first time in 5 months,Macro,[],bearish
8/20/2023,"The GSK Exit: The grim realities, the abundant opportunities",General News | Opinion,[],neutral
8/20/2023,Naira Rebound and Crude Oil Drop Buys President Tinubu Some Time,Energy | Oil,['Naira Rebound'],bullish
8/20/2023,Zenith Bank delays HY results due to audit issues,Company | Product News,['ZENITHBANK'],bearish
8/20/2023,"BIG READ: Difference between a fixed, free float crawling peg and managed float exchange rate system; which is better for Nigeria?",General News | Opinion,[],neutral
8/19/2023,NGX lists 641 million MTN shares arising from scrip dividend ,Dividend,['MTNN'],neutral
8/19/2023, Exchange Rate: Unification effort by the CBN is already yielding dividend – CIBN,Dividend,['CBN'],bullish
8/19/2023,"NIPOST launches postal code system to improve security, boost revenue generation ",Company | Product News,['NIPOST'],bullish
8/18/2023,"CBN brings back BDC, introduces new Operational Mechanism for Bureau De Change Operations in Nigeria",Company | Product News,"['CBN', 'BDC', 'Operational Mechanism for Bureau De Change Operations']",neutral
8/18/2023,DMO offers N422m 2-Year FGN Savings Bonds at 9.6%,Treasuries | Corporate Debt,['DMO'],neutral
8/18/2023, ICPC attributes illicit financial flows to forex depreciation and inflation ,Fed | Central Banks,['ICPC'],bearish
8/18/2023,Speculators lost over $1 billion as Bitcoin drops to lowest level since June  ,Stock Movement,[],bearish
8/18/2023,Speculators moan their losses as the naira gains N95/$ in less than a week  ,Stock Movement,[],bearish
8/17/2023,"Currency update: Naira advances to N870 on black market, official rate at N759.86  ",Fed | Central Banks,[],bullish
8/17/2023,Market registers bearish phase with N97 billion decrease ,Markets,[],bearish
8/17/2023,Standard Bank’s Africa regions franchise drives earnings growth,Financials,['Standard Bank'],bullish
8/17/2023,Imported food inflation surges to 19.94% as naira devaluation piles pressure ,Macro,[],bearish
8/16/2023,Nigeria’s Eurobonds leads markets losses for the second day,Markets,[],bearish
8/16/2023,"FX Speculators post heavy losses as the naira gains N55/$, exchanged below N890/$",Currencies,['FX Speculators'],bearish
8/16/2023,NGX fines eight companies N32.74 million for default filings,Legal | Regulation,['NGX'],bearish
8/16/2023,Binance Connect Shuts Down services as Crypto market stays red,Company | Product News,[],bearish
8/16/2023,"Local Bourse Extends Bearish Performance, Looses additional N58 Billion ",Macro,[],bearish
